"State","AveragePrice_2010-09","AveragePrice_2010-10","AveragePrice_2010-11","AveragePrice_2010-12","AveragePrice_2011-01","AveragePrice_2011-02","AveragePrice_2011-03","AveragePrice_2011-04","AveragePrice_2011-05","AveragePrice_2011-06","AveragePrice_2011-07","AveragePrice_2011-08","AveragePrice_2011-09","AveragePrice_2011-10","AveragePrice_2011-11","AveragePrice_2011-12","AveragePrice_2012-01","AveragePrice_2012-02","AveragePrice_2012-03","AveragePrice_2012-04","AveragePrice_2012-05","AveragePrice_2012-06","AveragePrice_2012-07","AveragePrice_2012-08","AveragePrice_2012-09","AveragePrice_2012-10","AveragePrice_2012-11","AveragePrice_2012-12","AveragePrice_2013-01","AveragePrice_2013-02","AveragePrice_2013-03","AveragePrice_2013-04","AveragePrice_2013-05","UserPer","Population","PercentagePopulation","Weight"
"Oklahoma",115.015776923077,193.00963125,126.4966,181.359194117647,162.463633333333,180.504611111111,240.4255,103.07675625,138.603408333333,205.685583333333,145.172566666667,207.60478,242.53608,158.212044444444,167.970611111111,194.163828571429,89.1477764705882,164.92061,244.408533333333,250.831130555556,202.686065714286,224.411737142857,218.981697959184,236.426689189189,251.0939,188.453535294118,253.864521666667,237.405987272727,203.30471509434,204.866579365079,205.28403880597,212.661835714286,197.777995238095,10.15,3814820,1.2,0.0107014642906722
"Oregon",149.549103255814,153.927925675676,152.031636666667,178.469703125,154.713242857143,154.860285185185,156.685945454545,129.48593030303,135.174838095238,140.585863333333,153.682096875,166.891317948718,163.162117391304,167.792878571429,194.02319,171.341092,164.360401785714,190.498933333333,169.3487,183.599509756098,172.923608108108,184.435862318841,172.121140243902,181.052848809524,177.656378947368,190.316878205128,176.743581355932,179.926157017544,177.297714,188.413808988764,181.876518666667,171.653569512195,182.098289411765,16.01,3899353,1.22,0.0171611774070826
"Pennsylvania",168.793330970149,182.665742222222,167.793314084507,198.984455714286,190.915033846154,163.798063265306,189.17623,173.639159259259,139.880657142857,197.925625675676,190.229736,199.862876,211.53911875,200.441368333333,198.0431625,160.076684,206.192746666667,234.322702439024,216.626612345679,205.523247019868,221.298894366197,207.970897660819,207.5849421875,215.773706422018,209.375528877005,205.465231797235,200.333478544061,208.079702173913,204.810250896057,221.055324806202,207.529652845528,214.260980454545,199.694305797101,10.82,12763536,4.06,0.0385966145416909
"Rhode Island",210.563431372549,209.763045454545,265.831085714286,275.98015,342.602333333333,138.5241875,277.62325,256.870133333333,270.96925,307.99014,149.2596625,113.217588888889,228.193922222222,117.671414285714,81.371025,186.49726,169.8054625,136.927588888889,231.578,269.048709090909,158.404761538462,219.792783333333,194.530268571429,249.760127777778,193.60065,185.702327272727,196.315033333333,181.609873333333,190.7549425,179.054279310345,220.431324137931,223.209063333333,234.801644827586,17.85,1050292,0.34,0.00533228134483492
"South Carolina",153.824769491525,167.494124637681,201.8365375,179.886904,161.036975,150.536633333333,195.58221,178.702216666667,154.944109090909,183.825166666667,192.10735,151.409029166667,216.8466,186.374880952381,211.46945,166.612240909091,193.007146153846,219.505175,238.788472222222,192.085618181818,249.964390196078,191.627672972973,224.115218309859,213.767363793103,212.688823809524,227.878722,209.844757142857,195.714129411765,218.428542391304,210.767401428571,187.115413924051,208.843323611111,196.6575,10.66,4723723,1.48,0.0138616471117468
"South Dakota",180.671375,229.52848,77.0226833333333,144.81646,145.642966666667,208.412366666667,143.3493,202.20745,124.61855,204.70745,416,230.31274,226.7457,218.3563,102.20745,NA,65.74306,6.74823333333334,69.57125,169.09376,151.343625,153.32545,242.2955,227.999788888889,172.171542857143,171.088409090909,130.9412,190.747692307692,205.814606666667,132.410571428571,148.17175,175.668142857143,230.6401,8.32,833354,0.26,0.0019006081735289
"Tennessee",155.541894936709,168.558621428571,178.554757142857,106.439395,144.025081818182,171.784628571429,165.184026666667,189.6456,160.777841176471,184.197995652174,196.330603333333,173.216165384615,187.049386363636,231.856744444444,216.467425,148.351636,175.620107407407,258.155,206.409715151515,234.921430188679,210.839905797101,209.21098,191.066712195122,244.106687356322,215.639655555556,219.31188018018,235.605601754386,220.80718677686,229.317730645161,228.840779,209.08055840708,205.527421875,203.995752702703,9.36,6456243,2.03,0.0166942842934486
"Texas",177.184105571031,173.698391588785,151.418378688525,205.366145,198.370971698113,161.563557894737,189.8525015625,192.711311764706,184.498924,188.726824657534,202.255135869565,174.970729824561,177.281931764706,178.810130555556,184.903532352941,199.048661111111,196.93187,166.488617567568,224.740304379562,208.136789179104,202.427062068966,223.313251398601,217.413331051345,212.402810833333,211.737052013423,209.196745844504,209.975549191686,208.11955518591,207.546341344196,214.581809950249,207.173858264463,211.103961469933,202.111234421365,9.28,26059203,8.04,0.0655541126834317
"Utah",166.175877142857,161.9501,170.944273333333,183.262344444444,214.2813,176.700258333333,145.145208333333,92.1173363636364,41.37554,219.71316,152.886585714286,166.65010625,194.3227875,121.264666666667,159.36357,134.396392307692,144.237321428571,131.5316,138.0933,205.1999,165.251652941176,241.991465517241,165.921934146341,185.505765714286,163.730825806452,227.673836170213,194.941193877551,207.514164150943,193.381121311475,212.580438297872,189.998096551724,142.263652380952,179.512137254902,7.06,2855287,0.88,0.00545862539779047
"Vermont",192.3504,169.779188235294,182.385018181818,82.93192,179.4837,170.36605,39.3247375,166.775333333333,111.636411111111,184.36615,181.894983333333,162.765127272727,256.324883333333,258.75731,218.24905,79.8826857142857,197.191016666667,158.7601,237.239222222222,215.2489625,242.070975,172.32559,201.0276125,145.695908333333,201.850553846154,193.3475,212.559952631579,234.81626,169.296888888889,165.275823076923,209.003717647059,177.010472727273,184.272408333333,18.76,626011,0.2,0.00329654302287372
"Virginia",163.33281459854,160.715604761905,173.656154054054,180.399257446809,160.53575,158.429993333333,164.966506521739,141.482093478261,169.572529411765,163.873775510204,170.671152272727,221.4864625,193.851526,219.627745714286,172.586824324324,181.056637142857,183.42986097561,142.750037931034,204.9204109375,214.04529673913,211.882872,209.780644086022,200.818314634146,211.405252147239,218.440438823529,209.132417037037,178.87962754491,195.987694642857,205.112487700535,198.752078873239,217.742406417112,216.455778431373,203.18417080292,9.98,8185867,2.56,0.0224474196116194
"Washington",149.903279098361,183.235344155844,151.405645454545,221.906465217391,162.094639393939,174.415004166667,165.592675,189.47735,167.601684090909,154.307527777778,183.295415151515,180.245213461538,151.52268974359,156.536683333333,197.824109677419,168.654509090909,197.383081132075,214.188187755102,193.203875,173.334865909091,207.103092592593,201.606122680412,210.227126666667,186.957880357143,180.271803,196.260074666667,203.789155343511,193.614694623656,197.090655208333,187.989769189189,203.640043333333,194.61003740458,193.861053658537,15.1,6897012,2.15,0.028524058965244
"West Virginia",125.666125,198.251566666667,149.443885714286,205.341127272727,64.0194428571429,167.1693,238.525544444444,147.318425,145.75788,228.19545,257.10905,165.5994,163.545757142857,205.805928571429,182.01045,200.8255,401,212.27108,243.19232,272.067111764706,221.598766666667,147.8343,211.143661904762,253.471396,226.9938,264.78265,169.815894594595,200.99126,182.23811,245.252773333333,197.435818421053,187.57864,205.200978125,10.37,1855413,0.59,0.00537559679553526
"Wisconsin",113.914891089109,165.783126470588,153.931225,142.2991,124.013393939394,54.156172,102.856870967742,153.614722222222,164.489894117647,144.630675,148.102929166667,148.768113888889,159.348367567568,184.094410810811,202.232851724138,240.689247826087,155.044261111111,210.129252631579,206.911502564103,157.772755714286,218.46643125,199.553138095238,147.096038202247,186.423967741935,171.660801612903,188.173654639175,188.637218,185.366294642857,181.893632846715,180.80938317757,194.564661386139,185.700514851485,189.411536619718,9.57,5726398,1.82,0.0153030939356612
"Wyoming",184.662490909091,162.295166666667,3.4149,96.99465,106.89256,63.4779666666667,74.57125,67.68448,137.422,77.5506666666667,24.52395,85.38565,35.633,445.6688,25.633,35.633,162.04185,205.8222,NA,109.61855,230.7673,175.63746,164.109688888889,158.667916666667,70.8776666666667,197.7901,160.211390909091,177.593272727273,164.032755555556,143.6006,340.424116666667,114.04021,176.01446,9.64,576412,0.18,0.00152456328712433
